Method         min/m     max/m      mean/m    rmse/m   error/%
NN-1           -1.33      1.09    0.000061      0.12      2.08
NN-2           -0.87      0.64   -0.000092      0.09      1.89
NN-3           -0.66      0.80   -0.000066      0.10      1.56
NN-4           -0.93      0.80   -0.000919      0.10      1.80
NN-5           -1.12      0.74   -0.001502      0.11      1.57
NN-6           -1.21      0.58   -0.002333      0.11      1.47
NN-7           -1.31      0.55   -0.003170      0.11      1.41
NN-8           -1.22      0.63   -0.003160      0.11      1.43
NN-9           -1.29      0.55   -0.003371      0.12      1.45
NN-10          -1.42      0.65   -0.003234      0.12      1.44
